Treatment	MainRoot	Type	Specific	InhibitedStrain	InhibitorStrain
MF107-MF350	2.9130330579	Duo	Duo	MF107	MF350
MF107-MF350	2.9570165289	Duo	Duo	MF107	MF350
MF107-MF4	3.0179173554	Duo	Duo	MF107	MF4
MF107-MF4	3.3641570248	Duo	Duo	MF107	MF4
MF107-MF4	2.965322314	Duo	Duo	MF107	MF4
MF107-MF4	3.2689669421	Duo	Duo	MF107	MF4
MF107-MF4	3.3130909091	Duo	Duo	MF107	MF4
MF107-MF4	3.0159256198	Duo	Duo	MF107	MF4
MF107-MF4	3.6646528926	Duo	Duo	MF107	MF4
MF107-MF4	2.703677686	Duo	Duo	MF107	MF4
MF107-MF4	2.5340495868	Duo	Duo	MF107	MF4
MF107-CL11	5.0789834711	Duo	Duo	MF107	CL11
MF107-CL11	4.4861983471	Duo	Duo	MF107	CL11
MF107-CL11	4.8930082645	Duo	Duo	MF107	CL11
MF107-CL11	4.9608016529	Duo	Duo	MF107	CL11
MF107-CL11	3.4742644628	Duo	Duo	MF107	CL11
MF107-CL11	4.9831322314	Duo	Duo	MF107	CL11
MF107-CL11	4.3367603306	Duo	Duo	MF107	CL11
MF107-CL11	4.8924793388	Duo	Duo	MF107	CL11
MF107-CL11	3.427231405	Duo	Duo	MF107	CL11
MF107-MF384	4.0031735537	Duo	Duo	MF107	MF384
MF107-MF384	5.0631404959	Duo	Duo	MF107	MF384
MF107-MF384	4.7621652893	Duo	Duo	MF107	MF384
MF107-MF384	4.3974710744	Duo	Duo	MF107	MF384
MF107-MF384	1.9851900826	Duo	Duo	MF107	MF384
MF107-MF384	3.6272231405	Duo	Duo	MF107	MF384
MF107-MF384	4.9587024793	Duo	Duo	MF107	MF384
MF107-MF384	3.5303884298	Duo	Duo	MF107	MF384
MF107-MF384	4.4969586777	Duo	Duo	MF107	MF384
MF107-MF45	1.9769173554	Duo	Duo	MF107	MF45
MF107-MF45	2.3272975207	Duo	Duo	MF107	MF45
MF107-MF45	1.2581570248	Duo	Duo	MF107	MF45
MF107-MF45	2.4655289256	Duo	Duo	MF107	MF45
MF107-MF45	1.9148595041	Duo	Duo	MF107	MF45
MF107-MF45	1.712	Duo	Duo	MF107	MF45
MF107-MF45	1.902768595	Duo	Duo	MF107	MF45
MF107-MF45	2.2309752066	Duo	Duo	MF107	MF45
MF107-MF45	1.9256033058	Duo	Duo	MF107	MF45
CL28	2.5015950413	Mono	Short	CL28	NB
CL28	1.1901322314	Mono	Short	CL28	NB
CL28	1.2400991736	Mono	Short	CL28	NB
CL28	1.8168429752	Mono	Short	CL28	NB
CL28	1.8649008264	Mono	Short	CL28	NB
CL28	1.784338843	Mono	Short	CL28	NB
CL28	1.7908595041	Mono	Short	CL28	NB
CL28	1.5417933884	Mono	Short	CL28	NB
CL28	1.6168677686	Mono	Short	CL28	NB
CL28-MF455	1.4556280992	Duo	Duo	CL28	MF455
CL28-MF455	1.7908595041	Duo	Duo	CL28	MF455
CL28-MF455	1.534214876	Duo	Duo	CL28	MF455
CL28-MF455	1.4890743802	Duo	Duo	CL28	MF455
CL28-MF455	1.2341570248	Duo	Duo	CL28	MF455
CL28-MF455	2.7772066116	Duo	Duo	CL28	MF455
CL28-MF455	3.410107438	Duo	Duo	CL28	MF455
CL28-CL144	2.2316528926	Duo	Duo	CL28	CL144
CL28-CL144	2.4827520661	Duo	Duo	CL28	CL144
CL28-CL144	2.5315702479	Duo	Duo	CL28	CL144
CL28-CL144	2.347338843	Duo	Duo	CL28	CL144
CL28-CL144	2.4333471074	Duo	Duo	CL28	CL144
CL28-CL144	2.8633719008	Duo	Duo	CL28	CL144
CL28-CL144	2.5577107438	Duo	Duo	CL28	CL144
CL28-CL144	3.1900826446	Duo	Duo	CL28	CL144
CL28-CL144	3.1739421488	Duo	Duo	CL28	CL144
CL28-CL21	1.7064049587	Duo	Duo	CL28	CL21
CL28-CL21	2.8949669421	Duo	Duo	CL28	CL21
CL28-CL21	4.1257768595	Duo	Duo	CL28	CL21
CL28-CL21	2.562785124	Duo	Duo	CL28	CL21
CL28-CL21	2.5793636364	Duo	Duo	CL28	CL21
CL28-CL71	2.8272231405	Duo	Duo	CL28	CL71
CL28-CL71	2.083231405	Duo	Duo	CL28	CL71
CL28-CL71	1.4950247934	Duo	Duo	CL28	CL71
CL28-CL71	2.2230661157	Duo	Duo	CL28	CL71
CL28-CL71	1.6063719008	Duo	Duo	CL28	CL71
CL28-CL71	2.216231405	Duo	Duo	CL28	CL71
CL28-CL71	2.8652809917	Duo	Duo	CL28	CL71
CL28-CL71	1.4539834711	Duo	Duo	CL28	CL71
CL28-CL71	2.6057603306	Duo	Duo	CL28	CL71
CL28-MF220A	1.9753305785	Duo	Duo	CL28	MF220A
CL28-MF220A	1.4440826446	Duo	Duo	CL28	MF220A
CL28-MF220A	1.5598595041	Duo	Duo	CL28	MF220A
CL28-MF220A	1.391768595	Duo	Duo	CL28	MF220A
CL28-MF220A	1.5527520661	Duo	Duo	CL28	MF220A
CL28-MF220A	1.0082644628	Duo	Duo	CL28	MF220A
CL28-MF220A	1.7285950413	Duo	Duo	CL28	MF220A
CL28-MF397	1.8536694215	Duo	Duo	CL28	MF397
CL28-MF397	1.4684710744	Duo	Duo	CL28	MF397
CL28-MF397	1.5961322314	Duo	Duo	CL28	MF397
CL28-MF397	1.654214876	Duo	Duo	CL28	MF397
CL28-MF397	1.9515371901	Duo	Duo	CL28	MF397
CL28-MF397	1.535768595	Duo	Duo	CL28	MF397
CL28-MF397	1.6370330579	Duo	Duo	CL28	MF397
CL28-MF397	1.7139917355	Duo	Duo	CL28	MF397
CL28-MF397	2.581107438	Duo	Duo	CL28	MF397
CL28-MF369	5.1027272727	Duo	Duo	CL28	MF369
CL28-MF369	6.4704380165	Duo	Duo	CL28	MF369
CL28-MF369	5.7060247934	Duo	Duo	CL28	MF369
CL28-MF369	5.8615289256	Duo	Duo	CL28	MF369
CL28-MF369	5.7581404959	Duo	Duo	CL28	MF369
CL28-MF369	5.8035619835	Duo	Duo	CL28	MF369
CL28-MF369	6.3183305785	Duo	Duo	CL28	MF369
CL28-MF369	5.1739752066	Duo	Duo	CL28	MF369
CL28-MF369	6.458768595	Duo	Duo	CL28	MF369
CL28-MF369	5.1075454545	Duo	Duo	CL28	MF369
CL28-MF349	5.637553719	Duo	Duo	CL28	MF349
CL28-MF349	5.3735289256	Duo	Duo	CL28	MF349
CL28-MF349	5.2429090909	Duo	Duo	CL28	MF349
CL28-MF349	5.5337355372	Duo	Duo	CL28	MF349
CL28-MF349	5.2117520661	Duo	Duo	CL28	MF349
CL28-MF349	5.3469256198	Duo	Duo	CL28	MF349
CL28-MF349	5.1414545455	Duo	Duo	CL28	MF349
CL28-MF349	4.5290495868	Duo	Duo	CL28	MF349
CL28-MF349	5.7725950413	Duo	Duo	CL28	MF349
CL28-MF349	5.7918512397	Duo	Duo	CL28	MF349
CL28-MF278	4.8939338843	Duo	Duo	CL28	MF278
CL28-MF278	3.9642231405	Duo	Duo	CL28	MF278
CL28-MF278	5.2453719008	Duo	Duo	CL28	MF278
CL28-MF278	5.6052809917	Duo	Duo	CL28	MF278
CL28-MF278	3.8088677686	Duo	Duo	CL28	MF278
CL28-MF278	5.0128677686	Duo	Duo	CL28	MF278
CL28-MF278	5.3325702479	Duo	Duo	CL28	MF278
CL28-MF278	5.4400495868	Duo	Duo	CL28	MF278
CL28-MF278	5.5727024793	Duo	Duo	CL28	MF278
CL28-MF110	5.7086115702	Duo	Duo	CL28	MF110
CL28-MF110	5.1714380165	Duo	Duo	CL28	MF110
CL28-MF110	2.7664628099	Duo	Duo	CL28	MF110
CL28-MF110	4.1375206612	Duo	Duo	CL28	MF110
CL28-MF110	5.6501157025	Duo	Duo	CL28	MF110
CL28-MF110	5.1459173554	Duo	Duo	CL28	MF110
CL28-MF110	3.158107438	Duo	Duo	CL28	MF110
CL28-MF110	4.903553719	Duo	Duo	CL28	MF110
CL28-MF110	3.4759917355	Duo	Duo	CL28	MF110
CL28-MF375	2.2724132231	Duo	Duo	CL28	MF375
CL28-MF375	4.8815206612	Duo	Duo	CL28	MF375
CL28-MF375	5.2039834711	Duo	Duo	CL28	MF375
CL28-MF375	4.1000082645	Duo	Duo	CL28	MF375
CL28-MF375	5.0265289256	Duo	Duo	CL28	MF375
CL28-MF375	5.3830743802	Duo	Duo	CL28	MF375
CL28-MF375	5.0697438017	Duo	Duo	CL28	MF375
CL28-MF375	5.6210247934	Duo	Duo	CL28	MF375
CL28-MF375	5.2967107438	Duo	Duo	CL28	MF375
CL28-MF375	5.1192231405	Duo	Duo	CL28	MF375
CL28-MF160	5.4752892562	Duo	Duo	CL28	MF160
CL28-MF160	5.1511157025	Duo	Duo	CL28	MF160
CL28-MF160	4.9805867769	Duo	Duo	CL28	MF160
CL28-MF160	4.4686198347	Duo	Duo	CL28	MF160
CL28-MF160	4.8270413223	Duo	Duo	CL28	MF160
CL28-MF160	5.3632231405	Duo	Duo	CL28	MF160
CL28-MF160	4.8344214876	Duo	Duo	CL28	MF160
CL28-MF160	5.4836446281	Duo	Duo	CL28	MF160
CL28-MF160	5.0651900826	Duo	Duo	CL28	MF160
CL28-CL14	5.3468181818	Duo	Duo	CL28	CL14
CL28-CL14	5.1643553719	Duo	Duo	CL28	CL14
CL28-CL14	5.2369586777	Duo	Duo	CL28	CL14
CL28-CL14	5.1215702479	Duo	Duo	CL28	CL14
CL28-CL14	5.162214876	Duo	Duo	CL28	CL14
CL28-CL14	5.1142809917	Duo	Duo	CL28	CL14
CL28-CL14	5.0617355372	Duo	Duo	CL28	CL14
CL28-CL14	4.8269008264	Duo	Duo	CL28	CL14
CL28-CL14	5.0591735537	Duo	Duo	CL28	CL14
CL28-CL14	4.7241818182	Duo	Duo	CL28	CL14
CL28-MF350	4.4462809917	Duo	Duo	CL28	MF350
CL28-MF350	5.1246363636	Duo	Duo	CL28	MF350
CL28-MF350	4.0360743802	Duo	Duo	CL28	MF350
CL28-MF350	6.7483553719	Duo	Duo	CL28	MF350
CL28-MF350	5.3632231405	Duo	Duo	CL28	MF350
CL28-MF350	6.0780165289	Duo	Duo	CL28	MF350
CL28-MF350	4.8778264463	Duo	Duo	CL28	MF350
CL28-MF350	4.7992231405	Duo	Duo	CL28	MF350
CL28-MF350	5.1707768595	Duo	Duo	CL28	MF350
CL28-MF350	5.1830743802	Duo	Duo	CL28	MF350
CL28-MF4	5.8025041322	Duo	Duo	CL28	MF4
CL28-MF4	5.5566942149	Duo	Duo	CL28	MF4
CL28-MF4	2.6116198347	Duo	Duo	CL28	MF4
CL28-MF4	4.6625950413	Duo	Duo	CL28	MF4
CL28-MF4	5.8834876033	Duo	Duo	CL28	MF4
CL28-MF4	5.7327520661	Duo	Duo	CL28	MF4
CL28-MF4	5.060553719	Duo	Duo	CL28	MF4
CL28-MF4	5.5996942149	Duo	Duo	CL28	MF4
CL28-MF4	4.3644214876	Duo	Duo	CL28	MF4
CL28-MF4	5.9341570248	Duo	Duo	CL28	MF4
CL28-CL11	3.111	Duo	Duo	CL28	CL11
CL28-CL11	2.7206033058	Duo	Duo	CL28	CL11
CL28-CL11	2.0891900826	Duo	Duo	CL28	CL11
CL28-CL11	3.3468512397	Duo	Duo	CL28	CL11
CL28-CL11	3.6529338843	Duo	Duo	CL28	CL11
CL28-CL11	3.6097107438	Duo	Duo	CL28	CL11
CL28-CL11	2.8688512397	Duo	Duo	CL28	CL11
CL28-CL11	1.7356198347	Duo	Duo	CL28	CL11
CL28-CL11	3.1246694215	Duo	Duo	CL28	CL11
CL28-MF384	2.1880661157	Duo	Duo	CL28	MF384
CL28-MF384	1.0425041322	Duo	Duo	CL28	MF384
CL28-MF384	2.6644380165	Duo	Duo	CL28	MF384
CL28-MF384	2.4325041322	Duo	Duo	CL28	MF384
CL28-MF384	2.4357603306	Duo	Duo	CL28	MF384
CL28-MF384	1.5371900826	Duo	Duo	CL28	MF384
CL28-MF384	2.3803966942	Duo	Duo	CL28	MF384
CL28-MF384	2.1503471074	Duo	Duo	CL28	MF384
CL28-MF384	1.9409338843	Duo	Duo	CL28	MF384
CL28-MF384	2.8599338843	Duo	Duo	CL28	MF384
CL28-MF45	2.5498016529	Duo	Duo	CL28	MF45
CL28-MF45	1.1015041322	Duo	Duo	CL28	MF45
CL28-MF45	2.4302561983	Duo	Duo	CL28	MF45
MF224	1.564322314	Mono	Short	MF224	NB
MF224	1.1118677686	Mono	Short	MF224	NB
MF224	1.6885371901	Mono	Short	MF224	NB
MF224	1.6734297521	Mono	Short	MF224	NB
MF224	1.0718347107	Mono	Short	MF224	NB
MF224	0.9549669421	Mono	Short	MF224	NB
MF224	1.1475371901	Mono	Short	MF224	NB
MF224	1.0570743802	Mono	Short	MF224	NB
MF224-MF455	1.1151818182	Duo	Duo	MF224	MF455
MF224-MF455	2.0176115702	Duo	Duo	MF224	MF455
MF224-MF455	1.5332727273	Duo	Duo	MF224	MF455
MF224-MF455	1.1921487603	Duo	Duo	MF224	MF455
MF224-MF455	1.4330661157	Duo	Duo	MF224	MF455
MF224-MF455	0.7854297521	Duo	Duo	MF224	MF455
MF224-MF455	1.5629256198	Duo	Duo	MF224	MF455
MF224-MF455	1.1651404959	Duo	Duo	MF224	MF455
MF224-MF455	1.1725041322	Duo	Duo	MF224	MF455
MF224-MF455	1.3392479339	Duo	Duo	MF224	MF455
MF224-CL144	3.7417107438	Duo	Duo	MF224	CL144
MF224-CL144	1.8365702479	Duo	Duo	MF224	CL144
MF224-CL144	1.8181818182	Duo	Duo	MF224	CL144
MF224-CL144	1.1746033058	Duo	Duo	MF224	CL144
MF224-CL144	0.6061818182	Duo	Duo	MF224	CL144
MF224-CL144	1.0295785124	Duo	Duo	MF224	CL144
MF224-CL144	0.9048760331	Duo	Duo	MF224	CL144
MF224-CL144	0.962661157	Duo	Duo	MF224	CL144
MF224-CL144	3.2435867769	Duo	Duo	MF224	CL144
MF224-CL21	1.4549173554	Duo	Duo	MF224	CL21
MF224-CL21	0.8141239669	Duo	Duo	MF224	CL21
MF224-CL21	0.8914876033	Duo	Duo	MF224	CL21
MF224-CL21	1.1637355372	Duo	Duo	MF224	CL21
MF224-CL21	0.8532809917	Duo	Duo	MF224	CL21
MF224-CL21	1.289785124	Duo	Duo	MF224	CL21
