InhibitedStrain	InhibitorStrain	MainRoot	Rep
MF6	CL11	0.41561157	Rep1
MF6	CL11	0.570247934	Rep1
MF6	CL11	0.719438017	Rep1
MF6	CL14	0.570785124	Rep1
MF6	CL14	0.546016529	Rep1
MF6	CL14	0.323264463	Rep1
MF7	NB	1.251760331	Rep1
MF7	NB	1.297809917	Rep1
MF7	NB	0.545454545	Rep1
MF7	NB	1.115975207	Rep1
MF7	CL11	3.124363636	Rep1
MF7	CL11	4.19477686	Rep1
MF7	CL11	3.818264463	Rep1
MF7	CL14	5.518404959	Rep1
MF7	CL14	2.52807438	Rep1
MF7	CL14	5.53092562	Rep1
MF7	CL14	2.826553719	Rep1
MF7	CL14	5.082644628	Rep1
MF7	CL14	3.175099174	Rep1
MF7	CL14	5.603528926	Rep1
MF107	NB	3.47107438	Rep1
MF107	NB	1.194206612	Rep1
MF107	NB	2.543520661	Rep1
MF107	NB	2.414132231	Rep1
MF107	CL11	5.182355372	Rep1
MF107	CL14	1.993363636	Rep1
MF107	CL14	1.704082645	Rep1
MF107	CL14	1.319884298	Rep1
MF107	CL14	2.018033058	Rep1
MF231	NB	0.645107438	Rep1
MF231	NB	0.79377686	Rep1
MF231	NB	0.496487603	Rep1
MF231	NB	0.67353719	Rep1
MF231	CL11	0.661363636	Rep1
MF231	CL11	0.199033058	Rep1
MF231	CL11	1.305892562	Rep1
MF231	CL11	0.214876033	Rep1
MF231	CL11	0.56222314	Rep1
MF231	CL14	5.33707438	Rep1
MF231	CL14	6.763479339	Rep1
CL28	NB	0.870950413	Rep1
CL28	NB	0.578809917	Rep1
CL28	NB	0.768991736	Rep1
CL28	NB	0.794933884	Rep1
CL28	NB	0.252842975	Rep1
CL28	NB	0.83638843	Rep1
CL28	NB	1.084413223	Rep1
CL28	CL11	0.715578512	Rep1
CL28	CL11	1.32546281	Rep1
CL28	CL11	0.917355372	Rep1
CL28	CL11	1.140495868	Rep1
CL28	CL11	0.898057851	Rep1
CL28	CL11	0.922702479	Rep1
CL28	CL14	5.966	Rep1
CL28	CL14	7.603950413	Rep1
CL28	CL14	7.339512397	Rep1
CL28	CL14	6.420123967	Rep1
CL28	CL14	7.240876033	Rep1
MF131	NB	1.153628099	Rep1
MF131	NB	1.439942149	Rep1
MF131	NB	2.108752066	Rep1
MF131	CL11	1.735710744	Rep1
MF131	CL11	1.165289256	Rep1
MF131	CL11	1.388429752	Rep1
MF131	CL14	3.31622314	Rep1
MF131	CL14	4.168760331	Rep1
MF131	CL14	6.181909091	Rep1
MF131	CL14	6.298066116	Rep1
CL28	NB	1.656933884	Rep2
CL28	NB	1.361809917	Rep2
CL28	NB	1.144801653	Rep2
CL28	NB	1.302016529	Rep2
CL28	NB	1.490909091	Rep2
CL28	NB	1.751206612	Rep2
CL28	NB	1.700553719	Rep2
CL28	NB	1.864256198	Rep2
CL28	NB	1.589876033	Rep2
CL28	NB	1.630008264	Rep2
CL28	NB	1.209041322	Rep2
CL28	NB	1.835380165	Rep2
CL28	NB	1.625247934	Rep2
CL28	NB	2.366826446	Rep2
CL28	NB	1.28853719	Rep2
CL28	NB	1.812636364	Rep2
CL28	NB	1.599123967	Rep2
CL28	NB	1.761024793	Rep2
CL28	NB	1.390421488	Rep2
CL28	NB	1.483669421	Rep2
CL28	NB	1.239669421	Rep2
CL28	NB	1.309363636	Rep2
CL28	NB	1.439297521	Rep2
CL28	NB	1.36453719	Rep2
CL28	NB	1.636553719	Rep2
CL28	NB	1.476198347	Rep2
CL28	NB	1.764694215	Rep2
CL28	NB	1.686132231	Rep2
CL28	NB	1.534702479	Rep2
CL28	NB	1.532561983	Rep2
CL28	NB	1.927586777	Rep2
