InhibitedStrain	InhibitorStrain	MainRoot	Rep
MF107	CL14	3.143190083	Rep2
MF107	CL14	3.397512397	Rep2
MF107	CL14	3.365057851	Rep2
MF107	CL14	3.176842975	Rep2
MF107	CL14	3.152272727	Rep2
MF107	CL14	2.776966942	Rep2
MF107	CL14	2.932338843	Rep2
MF107	CL14	3.022966942	Rep2
MF131	CL14	4.562256198	Rep2
MF131	CL14	4.384016529	Rep2
MF131	CL14	3.778454545	Rep2
MF131	CL14	4.885305785	Rep2
MF131	CL14	3.868082645	Rep2
MF131	CL14	4.317826446	Rep2
MF131	CL14	5.023033058	Rep2
MF131	CL14	4.214876033	Rep2
MF131	CL14	5.028107438	Rep2
MF224	CL14	5.868231405	Rep2
MF224	CL14	4.931644628	Rep2
MF224	CL14	6.695363636	Rep2
MF224	CL14	6.771504132	Rep2
MF224	CL14	6.781702479	Rep2
MF224	CL14	6.991909091	Rep2
MF224	CL14	6.693710744	Rep2
MF224	CL14	6.73914876	Rep2
MF224	CL14	6.942322314	Rep2
MF224	CL14	7.37431405	Rep2
MF231	CL14	5.903636364	Rep2
MF231	CL14	6.007272727	Rep2
MF231	CL14	6.89492562	Rep2
MF231	CL14	6.448619835	Rep2
MF231	CL14	6.335669421	Rep2
MF231	CL14	6.559008264	Rep2
MF231	CL14	6.735090909	Rep2
MF231	CL14	7.136446281	Rep2
MF231	CL14	6.744942149	Rep2
MF254	CL14	6.285884298	Rep2
MF254	CL14	6.450429752	Rep2
MF254	CL14	5.517247934	Rep2
MF254	CL14	6.78622314	Rep2
MF254	CL14	6.757479339	Rep2
MF254	CL14	7.111380165	Rep2
MF254	CL14	7.30153719	Rep2
MF254	CL14	8.039198347	Rep2
MF254	CL14	6.04346281	Rep2
MF3	CL14	4.157165289	Rep2
MF3	CL14	3.829752066	Rep2
MF3	CL14	4.028826446	Rep2
MF3	CL14	3.322404959	Rep2
MF3	CL14	3.35453719	Rep2
MF3	CL14	3.630090909	Rep2
MF3	CL14	3.374181818	Rep2
MF3	CL14	4.157165289	Rep2
MF3	CL14	4.081355372	Rep2
MF3	CL14	3.844256198	Rep2
MF491	CL14	5.092735537	Rep2
MF491	CL14	7.68431405	Rep2
MF491	CL14	3.96738843	Rep2
MF491	CL14	4.323190083	Rep2
MF491	CL14	4.951206612	Rep2
MF491	CL14	5.759016529	Rep2
MF491	CL14	5.771528926	Rep2
MF491	CL14	5.171438017	Rep2
MF491	CL14	7.747272727	Rep2
CL28	MF160	7.157099174	Rep2
CL28	MF160	7.061157025	Rep2
CL28	MF160	5.963619835	Rep2
CL28	MF160	7.157710744	Rep2
CL28	MF160	6.516190083	Rep2
CL28	MF160	7.062801653	Rep2
CL28	MF160	6.754512397	Rep2
CL28	MF160	7.190157025	Rep2
CL28	MF160	7.019892562	Rep2
CL28	MF160	6.710338843	Rep2
CL28	MF160	5.90677686	Rep2
CL52	MF160	6.806454545	Rep2
CL52	MF160	7.904892562	Rep2
CL52	MF160	6.871396694	Rep2
CL52	MF160	7.498107438	Rep2
CL52	MF160	6.671677686	Rep2
CL52	MF160	7.243917355	Rep2
CL52	MF160	7.131966942	Rep2
CL52	MF160	7.22322314	Rep2
CL52	MF160	7.642157025	Rep2
CL52	MF160	7.537190083	Rep2
CL72	MF160	6.261743802	Rep2
CL72	MF160	7.04838843	Rep2
CL72	MF160	7.069636364	Rep2
CL72	MF160	6.562380165	Rep2
CL72	MF160	6.687826446	Rep2
CL72	MF160	6.705958678	Rep2
CL72	MF160	6.570247934	Rep2
CL72	MF160	6.570669421	Rep2
CL72	MF160	6.786735537	Rep2
CL72	MF160	7.446107438	Rep2
CL91	MF160	7.031190083	Rep2
CL91	MF160	7.480214876	Rep2
CL91	MF160	7.398652893	Rep2
CL91	MF160	5.802132231	Rep2
CL91	MF160	6.476008264	Rep2
CL91	MF160	5.543140496	Rep2
CL91	MF160	5.233520661	Rep2
CL91	MF160	6.868173554	Rep2
CL91	MF160	6.223933884	Rep2
CL91	MF160	6.599702479	Rep2
CL130	MF160	5.191239669	Rep2
CL130	MF160	5.554115702	Rep2
CL130	MF160	4.840264463	Rep2
CL130	MF160	4.764578512	Rep2
CL130	MF160	5.285247934	Rep2
CL130	MF160	5.27953719	Rep2
CL130	MF160	4.807165289	Rep2
CL130	MF160	5.25692562	Rep2
MF6	MF160	0.750380165	Rep2
MF6	MF160	0.710743802	Rep2
MF6	MF160	0.859661157	Rep2
MF6	MF160	0.926206612	Rep2
MF6	MF160	0.682710744	Rep2
MF6	MF160	1.022256198	Rep2
MF6	MF160	1.152413223	Rep2
MF7	MF160	0.678495868	Rep2
MF7	MF160	0.847016529	Rep2
MF7	MF160	0.697355372	Rep2
MF7	MF160	0.628099174	Rep2
MF7	MF160	0.99668595	Rep2
MF7	MF160	0.813958678	Rep2
MF7	MF160	1.051892562	Rep2
MF7	MF160	0.664454545	Rep2
MF7	MF160	1.448991736	Rep2
MF7	MF160	0.615132231	Rep2
MF10	MF160	5.696628099	Rep2
MF10	MF160	6.057190083	Rep2
MF10	MF160	6.385752066	Rep2
MF10	MF160	6.73068595	Rep2
MF10	MF160	6.176	Rep2
MF10	MF160	6.666404959	Rep2
MF10	MF160	6.149115702	Rep2
MF10	MF160	6.681694215	Rep2
MF10	MF160	5.725454545	Rep2
MF10	MF160	5.921256198	Rep2
MF26	MF160	6.446471074	Rep2
MF26	MF160	6.450140496	Rep2
MF26	MF160	6.697933884	Rep2
MF26	MF160	6.57814876	Rep2
MF26	MF160	6.251082645	Rep2
MF26	MF160	6.825793388	Rep2
MF26	MF160	6.81331405	Rep2
MF26	MF160	6.593454545	Rep2
MF26	MF160	6.323528926	Rep2
MF26	MF160	6.702933884	Rep2
MF31	MF160	6.253884298	Rep2
MF31	MF160	6.99446281	Rep2
MF31	MF160	7.565272727	Rep2
MF31	MF160	6.620991736	Rep2
MF31	MF160	7.292669421	Rep2
MF31	MF160	7.122438017	Rep2
MF31	MF160	7.267173554	Rep2
MF31	MF160	6.719421488	Rep2
MF31	MF160	7.339512397	Rep2
MF31	MF160	7.210743802	Rep2
MF48	MF160	2.196702479	Rep2
MF48	MF160	3.14914876	Rep2
MF48	MF160	2.478966942	Rep2
MF48	MF160	2.316553719	Rep2
MF48	MF160	2.943322314	Rep2
MF48	MF160	2.181958678	Rep2
MF48	MF160	2.839570248	Rep2
MF48	MF160	2.776966942	Rep2
MF48	MF160	2.962991736	Rep2
MF48	MF160	2.852966942	Rep2
MF107	MF160	2.817404959	Rep2
MF107	MF160	3.349404959	Rep2
MF107	MF160	1.928471074	Rep2
MF107	MF160	4.457983471	Rep2
MF107	MF160	3.436636364	Rep2
MF107	MF160	3.917669421	Rep2
MF107	MF160	3.201421488	Rep2
MF107	MF160	3.001636364	Rep2
MF107	MF160	3.797355372	Rep2
MF107	MF160	4.006801653	Rep2
MF131	MF160	7.338214876	Rep2
MF131	MF160	7.292669421	Rep2
MF131	MF160	8.020231405	Rep2
MF131	MF160	7.597140496	Rep2
MF131	MF160	7.912669421	Rep2
MF131	MF160	7.270553719	Rep2
MF131	MF160	7.314049587	Rep2
MF131	MF160	7.02138843	Rep2
MF131	MF160	7.446107438	Rep2
MF131	MF160	7.042024793	Rep2
MF224	MF160	6.748355372	Rep2
MF224	MF160	6.502677686	Rep2
MF224	MF160	6.669049587	Rep2
MF224	MF160	6.651289256	Rep2
MF224	MF160	6.705958678	Rep2
MF224	MF160	6.398421488	Rep2
MF224	MF160	6.877834711	Rep2
MF224	MF160	7.212661157	Rep2
MF224	MF160	7.147768595	Rep2
MF231	MF160	6.746033058	Rep2
MF231	MF160	7.317454545	Rep2
MF231	MF160	7.077933884	Rep2
MF231	MF160	7.141570248	Rep2
MF231	MF160	8.129247934	Rep2
MF231	MF160	7.128173554	Rep2
MF231	MF160	6.884396694	Rep2
MF231	MF160	7.700256198	Rep2
MF254	MF160	6.404396694	Rep2
MF254	MF160	7.501892562	Rep2
MF254	MF160	6.579842975	Rep2
MF254	MF160	6.876049587	Rep2
MF254	MF160	6.463338843	Rep2
MF254	MF160	6.871942149	Rep2
MF254	MF160	6.965033058	Rep2
MF254	MF160	7.058338843	Rep2
MF254	MF160	7.574867769	Rep2
MF254	MF160	6.875099174	Rep2
MF3	MF160	4.780322314	Rep2
MF3	MF160	4.268338843	Rep2
MF3	MF160	4.961876033	Rep2
MF3	MF160	4.184140496	Rep2
MF3	MF160	4.106661157	Rep2
MF3	MF160	3.639404959	Rep2
MF3	MF160	4.467214876	Rep2
MF3	MF160	4.54977686	Rep2
MF3	MF160	4.373454545	Rep2
MF3	MF160	4.859619835	Rep2
MF491	MF160	3.816	Rep2
MF491	MF160	3.758214876	Rep2
MF491	MF160	6.651818182	Rep2
MF491	MF160	6.661809917	Rep2
MF491	MF160	4.155206612	Rep2
MF491	MF160	3.986900826	Rep2
MF491	MF160	4.08385124	Rep2
MF491	MF160	6.166090909	Rep2
MF491	MF160	6.214570248	Rep2
