Sample_Id	Sample_Label	Plate	Position	Syncom	Condition	Experiment
VDO2087	VarioDO_stress_R2_026	3	G11	-s	(+Na)	VarioDO_stress_R2
VDO2088	VarioDO_stress_R2_027	3	H11	-s	(+Na)	VarioDO_stress_R2
VDO2089	VarioDO_stress_R2_028	3	A12	-s	(31C)	VarioDO_stress_R2
VDO2090	VarioDO_stress_R2_029	3	B12	-s	(31C)	VarioDO_stress_R2
VDO2091	VarioDO_stress_R2_030	3	C12	-s	(31C)	VarioDO_stress_R2
VDO2092	VarioDO_stress_R2_031	3	D12	-s	(pH8.2)	VarioDO_stress_R2
VDO2093	VarioDO_stress_R2_032	3	E12	-s	(pH8.2)	VarioDO_stress_R2
VDO2094	VarioDO_stress_R2_033	3	F12	-s	(pH8.2)	VarioDO_stress_R2
VDO2095	VarioDO_stress_R2_034	3	G12	-s	(MS)	VarioDO_stress_R2
VDO2096	VarioDO_stress_R2_035	3	H12	-s	(MS)	VarioDO_stress_R2
FER001	VarioDO_stress_R2_036	4	A01	-s	(MS)	VarioDO_stress_R2
FER002	VarioDO_stress_R2_037	4	B01	DOV	control	VarioDO_stress_R2
FER003	VarioDO_stress_R2_038	4	C01	DOV	control	VarioDO_stress_R2
FER004	VarioDO_stress_R2_039	4	D01	DOV	control	VarioDO_stress_R2
FER005	VarioDO_stress_R2_040	4	E01	DOV	(-P)	VarioDO_stress_R2
FER006	VarioDO_stress_R2_041	4	F01	DOV	(-P)	VarioDO_stress_R2
FER007	VarioDO_stress_R2_042	4	G01	DOV	(-P)	VarioDO_stress_R2
FER008	VarioDO_stress_R2_043	4	H01	DOV	(+Na)	VarioDO_stress_R2
FER009	VarioDO_stress_R2_044	4	A02	DOV	(+Na)	VarioDO_stress_R2
FER010	VarioDO_stress_R2_045	4	B02	DOV	(+Na)	VarioDO_stress_R2
FER011	VarioDO_stress_R2_046	4	C02	DOV	(31C)	VarioDO_stress_R2
FER012	VarioDO_stress_R2_047	4	D02	DOV	(31C)	VarioDO_stress_R2
FER013	VarioDO_stress_R2_048	4	E02	DOV	(31C)	VarioDO_stress_R2
FER014	VarioDO_stress_R2_049	4	F02	DOV	(pH8.2)	VarioDO_stress_R2
FER015	VarioDO_stress_R2_050	4	G02	DOV	(pH8.2)	VarioDO_stress_R2
FER016	VarioDO_stress_R2_051	4	H02	DOV	(pH8.2)	VarioDO_stress_R2
FER017	VarioDO_stress_R2_052	4	A03	DOV	(MS)	VarioDO_stress_R2
FER018	VarioDO_stress_R2_053	4	B03	DOV	(MS)	VarioDO_stress_R2
FER019	VarioDO_stress_R2_054	4	C03	DOV	(MS)	VarioDO_stress_R2
FER020	VarioDO_stress_R2_055	4	D03	-sDOV	control	VarioDO_stress_R2
FER021	VarioDO_stress_R2_056	4	E03	-sDOV	control	VarioDO_stress_R2
FER022	VarioDO_stress_R2_057	4	F03	-sDOV	control	VarioDO_stress_R2
FER023	VarioDO_stress_R2_058	4	G03	-sDOV	(-P)	VarioDO_stress_R2
FER024	VarioDO_stress_R2_059	4	H03	-sDOV	(-P)	VarioDO_stress_R2
FER025	VarioDO_stress_R2_060	4	A04	-sDOV	(-P)	VarioDO_stress_R2
FER026	VarioDO_stress_R2_061	4	B04	-sDOV	(+Na)	VarioDO_stress_R2
FER027	VarioDO_stress_R2_062	4	C04	-sDOV	(+Na)	VarioDO_stress_R2
FER028	VarioDO_stress_R2_063	4	D04	-sDOV	(+Na)	VarioDO_stress_R2
FER029	VarioDO_stress_R2_064	4	E04	-sDOV	(31C)	VarioDO_stress_R2
FER030	VarioDO_stress_R2_065	4	F04	-sDOV	(31C)	VarioDO_stress_R2
FER031	VarioDO_stress_R2_066	4	G04	-sDOV	(31C)	VarioDO_stress_R2
FER032	VarioDO_stress_R2_067	4	H04	-sDOV	(pH8.2)	VarioDO_stress_R2
FER033	VarioDO_stress_R2_068	4	A05	-sDOV	(pH8.2)	VarioDO_stress_R2
FER034	VarioDO_stress_R2_069	4	B05	-sDOV	(pH8.2)	VarioDO_stress_R2
