USeq	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	OverallContrast	Module
USeq10	82.3292577636563	8.84321921648172	0.824276273586162	10.7284650788354	7.4828757204782e-27	1.30202037536321e-24	Shoot_150NaCl_vs_AgarPlant_150NaCl	ShootvsAgar	D
USeq10	82.3292577636563	5.25165389595192	0.732826192873012	7.16630211505276	7.70506382464806e-13	3.90389900448835e-11	Root_100NaCl_vs_AgarPlant_100NaCl	RootvsAgar	D
USeq10	82.3292577636563	14.1502982247492	1.1151472429314	12.6891747385324	6.78974286677925e-37	1.24931268748738e-34	Root_200NaCl_vs_AgarPlant_200NaCl	RootvsAgar	D
USeq10	82.3292577636563	-1.7286768009345	0.771468399871417	-2.24076164522438	0.02504151861997	0.626037965499249	Root_150NaCl_vs_Shoot_150NaCl	RootvsShoot	D
USeq10	82.3292577636563	12.9769846473665	1.08481269107899	11.9624196454221	5.5908689315451e-33	3.03770545280617e-31	Shoot_200NaCl_vs_AgarPlant_200NaCl	ShootvsAgar	D
USeq10	82.3292577636563	-1.47855115955967	0.671825937672347	-2.20079499264699	0.027750540248164	0.164521060042687	Root_21C_vs_Shoot_21C	RootvsShoot	D
USeq10	82.3292577636563	-2.39444470933662	0.653005891812648	-3.6668041427467	0.00024560076175423	0.00279984868399822	Root_50NaCl_vs_Shoot_50NaCl	RootvsShoot	D
USeq10	82.3292577636563	-0.721857335404899	0.671236636262839	-1.07541408857522	0.282189376935385	0.770375221912045	Root_8.2pH_vs_Shoot_8.2pH	RootvsShoot	D
USeq10	82.3292577636563	5.52754077932768	0.964570586307181	5.73057157018403	1.00092783682696e-08	1.12961855870471e-07	Root_50Pi_vs_AgarPlant_50Pi	RootvsAgar	D
USeq10	82.3292577636563	7.26364693937906	1.02558191410646	7.08246395482466	1.41613604148904e-12	6.1837940478355e-11	Shoot_30Pi_vs_AgarPlant_30Pi	ShootvsAgar	D
USeq10	82.3292577636563	6.73759892055842	0.770002379936212	8.75010142321453	2.13161079733889e-18	6.71457401161751e-17	Root_31C_vs_AgarPlant_31C	RootvsAgar	D
USeq10	82.3292577636563	7.12637474419511	1.06456200634092	6.69418474616587	2.16877285477405e-11	5.68218487950802e-10	Root_100Pi_vs_AgarPlant_100Pi	RootvsAgar	D
USeq10	82.3292577636563	8.38446628278427	1.12558711849288	7.44897142569538	9.40707414122731e-14	5.57287693623379e-12	Shoot_21C_vs_AgarPlant_21C	ShootvsAgar	D
USeq10	82.3292577636563	8.07127007330945	1.14977080689302	7.01989476939331	2.2203540844167e-12	6.66106225325011e-11	Shoot_7pH_vs_AgarPlant_7pH	ShootvsAgar	D
USeq10	82.3292577636563	5.78444500257399	1.03147436694722	5.60793868265847	2.04750535972236e-08	2.78460728922241e-07	Root_30Pi_vs_AgarPlant_30Pi	RootvsAgar	D
