Length	Strain1	Strain2
2.882867769	OF79	MF48
2.825628099	OF79	MF48
1.622867769	OF79	MF48
2.654735537	OF79	MF48
3.870024793	PDC80	MF48
1.361809917	PDC80	MF48
3.538578512	PDC80	MF48
3.539041322	PDC80	MF48
3.420966942	PDC80	MF48
3.473595041	PDC80	MF48
2.415256198	PDC80	MF48
2.641528926	PDC80	MF48
4.430859504	PDC80	MF48
3.891570248	PDC80	MF48
2.557661157	YR216	MF48
0.817809917	YR216	MF48
2.530165289	YR216	MF48
1.402528926	YR216	MF48
2.717991736	YR216	MF48
1.522099174	YR216	MF48
1.855958678	YR216	MF48
2.188066116	YR216	MF48
2.71577686	YR216	MF48
2.151049587	YR216	MF48
0.725016529	Root219	MF48
0.694214876	Root219	MF48
1.51092562	Root219	MF48
0.337123967	Root219	MF48
1.136057851	Root219	MF48
0.796140496	Root219	MF48
1.190545455	Root219	MF48
0.761049587	Root219	MF48
0.836305785	Root219	MF48
1.118603306	Root219	MF48
1.925322314	YR266	MF48
2.744595041	YR266	MF48
3.537809917	YR266	MF48
2.033793388	YR266	MF48
2.448289256	YR266	MF48
2.223735537	YR266	MF48
1.789404959	YR266	MF48
2.155107438	YR266	MF48
2.646487603	YR266	MF48
2.948826446	YR266	MF48
4.431727273	CF313	MF48
4.330702479	CF313	MF48
1.164553719	CF313	MF48
3.983710744	CF313	MF48
2.702264463	CF313	MF48
4.462933884	CF313	MF48
4.397190083	CF313	MF48
4.133421488	CF313	MF48
4.067595041	CF313	MF48
3.702479339	CF313	MF48
0.827107438	Root318D1	MF48
1.919917355	Root318D1	MF48
2.448289256	Root318D1	MF48
1.655867769	Root318D1	MF48
2.352917355	Root318D1	MF48
3.149008264	Root318D1	MF48
2.32253719	Root318D1	MF48
2.658231405	Root318D1	MF48
2.529950413	Root318D1	MF48
2.745595041	Root318D1	MF48
1.068132231	Root411	MF48
3.37546281	Root411	MF48
2.777644628	Root411	MF48
3.011165289	Root411	MF48
5.392082645	Root411	MF48
1.559338843	Root411	MF48
3.012801653	Root411	MF48
1.517066116	Root411	MF48
0.963793388	Root411	MF48
1.55407438	Root411	MF48
1.855958678	Root473	MF48
2.081595041	Root473	MF48
1.739231405	Root473	MF48
2.059165289	Root473	MF48
1.888933884	Root473	MF48
2.515876033	Root473	MF48
2.418876033	Root473	MF48
1.851239669	Root473	MF48
2.026256198	Root473	MF48
1.960471074	Root473	MF48
1.917636364	OK605	MF48
2.632413223	OK605	MF48
1.884586777	OK605	MF48
2.885330579	OK605	MF48
1.472834711	OK605	MF48
3.296677686	OK605	MF48
2.81477686	OK605	MF48
3.206785124	OK605	MF48
0.71514876	OK605	MF48
2.606545455	OK605	MF48
2.616793388	YR750	MF48
2.678504132	YR750	MF48
3.506628099	YR750	MF48
1.636280992	YR750	MF48
2.669512397	YR750	MF48
3.008446281	YR750	MF48
2.711950413	YR750	MF48
2.152826446	YR750	MF48
2.070272727	YR750	MF48
1.520661157	YR750	MF48
