Gene	Mean_zscore_NoBacteriaTripartite	Mean_zscore_VariovoraxCL14	Mean_zscore_ArthrobacterCL28	Mean_zscore_Duoassociation	GLM_ArthrobacterCL28vsNB_log2FoldChange	GLM_ArthrobacterCL28vsNB_pvalue	GLM_ArthrobacterCL28vsNB_padj	GLM_ArthrobacterCL28vsDuoassociation_log2FoldChange	GLM_ArthrobacterCL28vsDuoassociation_pvalue	GLM_ArthrobacterCL28vsDuoassociation_padj	Mean_zscore_NoBacteriaDropout	Mean_zscore_Full	Mean_zscore_VariovoraxDropout	GLM_VariovoraxDropoutvsNB_log2FoldChange	GLM_VariovoraxDropoutvsNB_pvalue	GLM_VariovoraxDropoutvsNB_padj	GLM_VariovoraxDropoutvsFull_log2FoldChange	GLM_VariovoraxDropoutvsFull_pvalue	GLM_VariovoraxDropoutvsFull_padj
AT1G78000	-0.62335289563018	0.123028380703943	0.00902389712659214	0.241959459547567	0.180545755539114	0.310300370138867	0.885978261172881	-0.064837987781919	0.673708192539954	0.985142152085503	-1.24646032200174	-0.413253595253442	1.32803561622063	1.0712495994255	2.63844215370925e-09	1.19321937595309e-06	0.690710921909666	9.73395509171569e-05	0.0515677129458835
AT1G80830	-0.8214279176625	-0.411077268501133	1.13569139775057	-0.231757378651943	0.635740080793256	8.28032473697015e-05	0.0088602893690927	0.439254333866362	0.00163898384256327	0.095308544759427	-0.973411927375528	1.24551652983561	-0.654723124940016	0.0615039824463824	0.686120294368957	0.98154798370111	-0.365049023954489	0.0144480041637589	0.612925551196067
AT2G20520	-0.637073807578118	-0.35110808767975	1.34278656343511	-0.609434191208488	2.92092092209141	3.10342960385019e-05	0.00395415995679374	2.46671481958994	7.39440150254951e-06	0.00162287235557568	-1.34446523635962	-0.00106427980064467	0.47032752311509	4.41351563304338	0.00110218433770516	0.0580588124708211	1.03996483198192	0.219808092088471	0.949069969278412
AT2G23170	-0.42274468328303	-0.532058867497954	1.32940510631974	-0.543699428851967	1.4493981272496	3.75854961984478e-06	0.000646045038429924	1.52999442114616	2.4936336145348e-08	1.64185663568612e-05	-0.484332706475194	0.804200246178742	-0.76108804297556	-0.193870881606082	0.612278091043444	0.976261455845442	-0.801252306903986	0.0308221276196672	0.764042634122821
AT2G24980	-1.17256169283443	-0.161972646038302	1.21801075931895	-0.35250109757999	1.91565594762705	5.39557764734271e-09	2.18460943854632e-06	1.13271519099512	4.01935845704556e-05	0.00630299869115706	-0.729541051612964	-0.936245781373329	1.23004606467934	2.20537461891231	5.82792263890909e-06	0.000964833406880824	2.54884798822939	2.38708992031759e-07	0.000600390570287007
AT2G32270	-0.590343434620379	-0.154359981036725	1.22251337794323	-0.713947336134277	1.45964989591281	0.000154882678997534	0.0146977208923701	1.618565304687	2.64824545656642e-06	0.000684219468531357	-0.923217627011102	-0.61129077951095	1.61878000257066	1.79954266752646	5.20840389881095e-07	0.000132293459029798	1.47132291309598	2.38213513547252e-05	0.0184039790341381
AT2G39980	-0.387965570967694	-0.557369744379235	1.40067429756214	-0.610525210602279	0.863360788879034	5.10024186276155e-05	0.00603418225581269	0.993672941394011	2.13107054160208e-07	7.90859651357092e-05	-0.935315390760322	-0.207801948288877	1.13877034165242	0.927276795745603	0.001761076596937	0.0802009898582807	0.573393019849472	0.0478829640388242	0.808385061307739
AT2G43610	-0.124016547043717	-0.625334019259951	1.27318661989564	-0.573442672409451	0.471806445003445	0.000887501861320868	0.0561468191432855	0.630817567868204	4.7630719806198e-07	0.000159375511797427	-0.838452326312039	-0.18694642298219	0.904680951032613	0.67969205132397	3.53998259220545e-05	0.0041023973265421	0.415154378187704	0.0110123167731299	0.555066805437031
AT2G47550	-0.583476842930678	-0.491907112145566	1.04432371260216	-0.20233049469819	0.701531090001292	0.0166832355940665	0.337228650522894	0.53358541480986	0.0350423133815593	0.528532883452642	-1.4110548652154	-0.225927227437323	1.0542809977407	2.74315495709782	1.08571141846913e-15	2.23680679125052e-12	1.11138071914014	9.50757058936765e-05	0.0515677129458835
AT3G22840	-0.806797694894802	-0.319671529094	1.16256795055723	-0.358817804526354	1.36866613689068	0.000543777489688519	0.0394139915241325	1.0953357642147	0.00133315660611516	0.0831375255061012	-0.566131148860857	-0.762044491569124	0.891063033105539	0.972815023285874	0.11901002923742	0.7526834450574	1.14643697181168	0.073577133622061	0.856327312436434
