AGI code	Symbol	logFC	pVal	qVal
AT1G23730	BCA3	1.15E+00	3.95E-14	5.841E-12
AT2G19970	AT2G19970	1.15E+00	2.09E-23	6.725E-21
AT1G78100	AUF1	1.14E+00	3.30E-41	1.978E-38
AT5G65320	AT5G65320	1.14E+00	5.21E-18	1.101E-15
AT4G38850	SAUR_AC1	1.14E+00	4.60E-14	6.528E-12
AT1G64405	AT1G64405	1.13E+00	3.35E-14	5.021E-12
AT5G52900	MAKR6	1.13E+00	9.40E-33	4.056E-30
AT5G18080	SAUR24	1.13E+00	3.21E-13	4.143E-11
AT1G13480	AT1G13480	1.13E+00	4.41E-14	6.379E-12
AT4G22620	SAUR34	1.12E+00	3.59E-13	4.582E-11
AT3G42800	AT3G42800	1.09E+00	4.60E-14	6.528E-12
AT4G30140	CDEF1	1.09E+00	9.28E-33	4.056E-30
AT5G50300	AZG2	1.08E+00	1.66E-19	4.056E-17
AT1G29430	SAUR62	1.08E+00	1.26E-19	3.127E-17
AT5G14690	AT5G14690	1.07E+00	2.79E-18	6.083E-16
AT4G24275	AT4G24275	1.06E+00	1.49E-21	4.279E-19
AT3G46800	AT3G46800	1.06E+00	9.13E-12	0.000000001
AT1G29500	SAUR66	1.06E+00	7.86E-14	1.101E-11
AT5G18020	SAUR20	1.04E+00	4.09E-12	4.621E-10
AT1G80240	DGR1	1.03E+00	2.96E-35	1.453E-32
AT1G29450	SAUR64	1.03E+00	9.81E-12	1.053E-09
AT1G29440	SAUR63	1.01E+00	5.32E-15	8.431E-13
AT4G01870	AT4G01870	1.00E+00	3.67E-20	9.765E-18
AT1G28370	ERF11	1.00E+00	1.00E-10	9.242E-09
AT3G49700	ETO3	9.98E-01	1.65E-12	1.946E-10
AT3G13380	BRL3	9.90E-01	2.68E-25	9.175E-23
AT5G64770	RGF9	9.89E-01	1.49E-26	5.443E-24
AT1G51170	UCN	9.86E-01	1.19E-18	2.733E-16
AT2G47140	SDR5	9.70E-01	3.89E-16	7.056E-14
AT4G17350	AT4G17350	9.54E-01	4.70E-11	4.563E-09
AT3G15370	EXPA12	9.50E-01	9.23E-10	0.000000076
AT1G26945	PRE6	9.48E-01	4.79E-15	7.652E-13
AT1G04240	SHY2	9.48E-01	7.01E-23	2.193E-20
AT2G26480	UGT76D1	9.47E-01	1.14E-11	1.222E-09
AT2G18010	SAUR10	9.45E-01	4.83E-10	4.118E-08
AT1G74670	GASA6	9.41E-01	1.23E-13	1.652E-11
AT5G57520	ZFP2	9.40E-01	1.43E-10	0.000000013
AT5G09970	CYP78A7	9.29E-01	2.33E-12	2.684E-10
AT2G40610	EXPA8	9.28E-01	1.64E-09	0.000000129
AT4G32460	AT4G32460	9.16E-01	2.81E-25	9.456E-23
AT2G41380	AT2G41380	9.13E-01	1.83E-14	2.819E-12
AT2G42800	RLP29	9.13E-01	5.65E-12	6.223E-10
AT5G66580	AT5G66580	9.09E-01	1.94E-12	2.256E-10
AT2G36220	AT2G36220	9.07E-01	4.53E-14	6.519E-12
AT3G13790	ATCWINV1	9.06E-01	3.73E-24	1.219E-21
AT3G60650	AT3G60650	9.04E-01	4.59E-09	3.414E-07
AT1G78970	LUP1	8.97E-01	1.12E-16	2.11E-14
AT4G36110	SAUR9	8.97E-01	1.50E-09	1.196E-07
AT1G49450	AT1G49450	8.89E-01	2.28E-10	2.022E-08
AT4G22780	ACR7	8.87E-01	2.12E-11	2.222E-09
AT5G43700	IAA4	8.73E-01	2.08E-18	4.662E-16
AT5G40780	LHT1	8.72E-01	3.41E-21	9.559E-19
AT4G15160	AT4G15160	8.70E-01	1.53E-17	3.062E-15
AT4G00080	UNE11	8.68E-01	1.60E-15	2.742E-13
AT1G74110	CYP78A10	8.50E-01	1.74E-09	0.000000135
AT3G20830	UCNL	8.47E-01	1.98E-10	1.772E-08
AT1G29460	SAUR65	8.46E-01	5.03E-08	0.000003129
AT2G33310	IAA13	8.41E-01	1.01E-19	2.54E-17
AT5G18030	AT5G18030	8.39E-01	5.01E-08	0.000003122
AT2G34650	PID	8.35E-01	1.22E-12	1.488E-10
AT3G50340	AT3G50340	8.33E-01	3.62E-16	6.625E-14
AT2G47860	SETH6	8.33E-01	7.36E-13	9.176E-11
AT2G30040	MAPKKK14	8.30E-01	4.68E-12	5.199E-10
AT1G02660	AT1G02660	8.25E-01	7.88E-11	7.33E-09
AT4G13420	HAK5	8.18E-01	3.91E-10	3.376E-08
AT4G30290	XTH19	8.13E-01	1.12E-13	1.523E-11
AT4G12410	SAUR35	8.12E-01	1.65E-07	0.000009703
AT4G25410	AT4G25410	8.11E-01	1.75E-07	0.00001017
AT3G26760	AT3G26760	7.98E-01	5.28E-09	3.877E-07
AT4G21200	GA2OX8	7.94E-01	3.18E-07	0.00001746
AT2G42430	LBD16	7.93E-01	2.73E-07	0.00001517
AT5G40590	AT5G40590	7.80E-01	3.36E-11	3.371E-09
AT3G04570	AHL19	7.76E-01	1.95E-12	2.256E-10
AT5G64260	EXL2	7.73E-01	7.73E-19	1.813E-16
AT1G10380	AT1G10380	7.69E-01	5.49E-11	5.194E-09
AT1G78980	SRF5	7.67E-01	6.93E-07	0.0000357
