Length	SynCom	Experiment	Condition	Rep
3.306446281	DOV	Abiotic	-P	Rep1
3.312760331	DOV	Abiotic	-P	Rep1
2.083694215	DOV	Abiotic	-P	Rep1
1.65322314	DOV	Abiotic	-P	Rep1
3.559553719	DOV	Abiotic	-P	Rep1
3.25785124	DOV	Abiotic	-P	Rep1
2.996	DOV	Abiotic	-P	Rep1
3.315735537	DOV	Abiotic	-P	Rep1
3.927231405	DOV	Abiotic	-P	Rep1
4.345917355	DOV	Abiotic	-P	Rep1
3.611677686	DOV	Abiotic	-P	Rep1
4.79	DOV	Abiotic	-P	Rep1
4.330049587	DOV	Abiotic	-P	Rep1
4.567438017	DOV	Abiotic	-P	Rep1
1.239917355	DOV	Abiotic	Na	Rep1
1.076446281	DOV	Abiotic	Na	Rep1
1.024057851	DOV	Abiotic	Na	Rep1
0.79377686	DOV	Abiotic	Na	Rep1
0.471727273	DOV	Abiotic	Na	Rep1
0.656438017	DOV	Abiotic	Na	Rep1
0.770190083	DOV	Abiotic	Na	Rep1
1.035702479	DOV	Abiotic	Na	Rep1
1.006809917	DOV	Abiotic	Na	Rep1
1.553297521	DOV	Abiotic	Na	Rep1
0.148760331	DOV	Abiotic	Na	Rep1
0.385867769	DOV	Abiotic	Na	Rep1
2.38022314	DOV	Abiotic	31deg	Rep1
2.543520661	DOV	Abiotic	31deg	Rep1
2.99214876	DOV	Abiotic	31deg	Rep1
4.347892562	DOV	Abiotic	31deg	Rep1
3.002677686	DOV	Abiotic	31deg	Rep1
3.983504132	DOV	Abiotic	31deg	Rep1
2.446785124	DOV	Abiotic	31deg	Rep1
2.43177686	DOV	Abiotic	31deg	Rep1
2.475619835	DOV	Abiotic	31deg	Rep1
1.903933884	DOV	Abiotic	31deg	Rep1
2.066793388	DOV	Abiotic	31deg	Rep1
2.904636364	DOV	Abiotic	31deg	Rep1
1.859504132	DOV	Abiotic	31deg	Rep1
4.301347107	DOV	Abiotic	31deg	Rep1
3.124363636	DOV	Abiotic	31deg	Rep1
2.46192562	DOV	Abiotic	31deg	Rep1
4.384016529	DOV	Abiotic	31deg	Rep1
1.395719008	DOV	Abiotic	pH8.2	Rep1
0.720719008	DOV	Abiotic	pH8.2	Rep1
0.992041322	DOV	Abiotic	pH8.2	Rep1
0.876578512	DOV	Abiotic	pH8.2	Rep1
1.191115702	DOV	Abiotic	pH8.2	Rep1
1.202669421	DOV	Abiotic	pH8.2	Rep1
0.943454545	DOV	Abiotic	pH8.2	Rep1
0.701264463	DOV	Abiotic	pH8.2	Rep1
1.120099174	DOV	Abiotic	pH8.2	Rep1
0.994520661	DOV	Abiotic	pH8.2	Rep1
1.274876033	DOV	Abiotic	pH8.2	Rep1
1.414958678	DOV	Abiotic	pH8.2	Rep1
1.194206612	DOV	Abiotic	pH8.2	Rep1
0.667578512	DOV	Abiotic	pH8.2	Rep1
0.841884298	DOV	Abiotic	pH8.2	Rep1
0.947355372	DOV	Abiotic	MS	Rep1
0.867768595	DOV	Abiotic	MS	Rep1
0.967256198	DOV	Abiotic	MS	Rep1
0.698190083	DOV	Abiotic	MS	Rep1
1.90053719	DOV	Abiotic	MS	Rep1
1.178140496	DOV	Abiotic	MS	Rep1
2.08146281	DOV	Abiotic	MS	Rep1
5.539652893	NB	Abiotic	Control	Rep1
5.233595041	NB	Abiotic	Control	Rep1
3.554066116	NB	Abiotic	Control	Rep1
5.472297521	NB	Abiotic	Control	Rep1
4.932710744	NB	Abiotic	Control	Rep1
5.133578512	NB	Abiotic	Control	Rep1
5.587165289	NB	Abiotic	Control	Rep1
5.801677686	NB	Abiotic	Control	Rep1
5.504231405	NB	Abiotic	Control	Rep1
5.56907438	NB	Abiotic	Control	Rep1
5.539190083	NB	Abiotic	Control	Rep1
5.141454545	NB	Abiotic	Control	Rep1
4.930305785	NB	Abiotic	Control	Rep1
6.146140496	NB	Abiotic	Control	Rep1
6.95885124	NB	Abiotic	Control	Rep1
5.863256198	NB	Abiotic	Control	Rep1
5.989595041	NB	Abiotic	Control	Rep1
6.567206612	NB	Abiotic	Control	Rep1
6.213206612	NB	Abiotic	Control	Rep1
6.396694215	NB	Abiotic	-P	Rep1
5.389809917	NB	Abiotic	-P	Rep1
4.983528926	NB	Abiotic	-P	Rep1
5.737785124	NB	Abiotic	-P	Rep1
6.601752066	NB	Abiotic	-P	Rep1
6.223586777	NB	Abiotic	-P	Rep1
6.128983471	NB	Abiotic	-P	Rep1
6.828768595	NB	Abiotic	-P	Rep1
5.621049587	NB	Abiotic	-P	Rep1
6.003280992	NB	Abiotic	-P	Rep1
6.525371901	NB	Abiotic	-P	Rep1
5.711578512	NB	Abiotic	-P	Rep1
7.53792562	NB	Abiotic	-P	Rep1
6.610123967	NB	Abiotic	-P	Rep1
7.184181818	NB	Abiotic	-P	Rep1
7.482719008	NB	Abiotic	-P	Rep1
5.841669421	NB	Abiotic	-P	Rep1
6.982413223	NB	Abiotic	-P	Rep1
5.318801653	NB	Abiotic	-P	Rep1
1.929429752	NB	Abiotic	Na	Rep1
1.316157025	NB	Abiotic	Na	Rep1
1.086677686	NB	Abiotic	Na	Rep1
1.419950413	NB	Abiotic	Na	Rep1
1.985487603	NB	Abiotic	Na	Rep1
2.137561983	NB	Abiotic	Na	Rep1
2.710652893	NB	Abiotic	Na	Rep1
1.486157025	NB	Abiotic	Na	Rep1
1.929586777	NB	Abiotic	Na	Rep1
1.79131405	NB	Abiotic	Na	Rep1
8.770066116	NB	Abiotic	31deg	Rep1
8.250504132	NB	Abiotic	31deg	Rep1
8.416504132	NB	Abiotic	31deg	Rep1
8.755578512	NB	Abiotic	31deg	Rep1
8.431867769	NB	Abiotic	31deg	Rep1
8.023909091	NB	Abiotic	31deg	Rep1
4.978785124	NB	Abiotic	31deg	Rep1
7.162371901	NB	Abiotic	31deg	Rep1
8.867198347	NB	Abiotic	31deg	Rep1
9.550826446	NB	Abiotic	31deg	Rep1
8.736917355	NB	Abiotic	31deg	Rep1
8.308487603	NB	Abiotic	31deg	Rep1
7.401272727	NB	Abiotic	31deg	Rep1
6.386743802	NB	Abiotic	31deg	Rep1
6.506504132	NB	Abiotic	31deg	Rep1
6.76677686	NB	Abiotic	31deg	Rep1
7.473347107	NB	Abiotic	31deg	Rep1
7.41753719	NB	Abiotic	31deg	Rep1
7.022487603	NB	Abiotic	31deg	Rep1
6.42	NB	Abiotic	31deg	Rep1
4.951231405	NB	Abiotic	pH8.2	Rep1
4.727413223	NB	Abiotic	pH8.2	Rep1
5.184727273	NB	Abiotic	pH8.2	Rep1
4.505644628	NB	Abiotic	pH8.2	Rep1
4.227760331	NB	Abiotic	pH8.2	Rep1
4.141165289	NB	Abiotic	pH8.2	Rep1
5.335421488	NB	Abiotic	pH8.2	Rep1
4.51246281	NB	Abiotic	pH8.2	Rep1
4.414338843	NB	Abiotic	pH8.2	Rep1
3.881495868	NB	Abiotic	pH8.2	Rep1
3.451983471	NB	Abiotic	pH8.2	Rep1
3.589561983	NB	Abiotic	pH8.2	Rep1
4.546933884	NB	Abiotic	pH8.2	Rep1
4.564206612	NB	Abiotic	pH8.2	Rep1
3.471165289	NB	Abiotic	pH8.2	Rep1
3.874834711	NB	Abiotic	pH8.2	Rep1
2.686966942	NB	Abiotic	pH8.2	Rep1
3.521446281	NB	Abiotic	pH8.2	Rep1
4.837	NB	Abiotic	pH8.2	Rep1
3.299008264	NB	Abiotic	pH8.2	Rep1
3.521181818	NB	Abiotic	pH8.2	Rep1
4.241479339	NB	Abiotic	pH8.2	Rep1
4.501008264	NB	Abiotic	pH8.2	Rep1
3.677785124	NB	Abiotic	pH8.2	Rep1
4.255950413	NB	Abiotic	pH8.2	Rep1
2.716206612	NB	Abiotic	MS	Rep1
3.49622314	NB	Abiotic	MS	Rep1
4.687	NB	Abiotic	MS	Rep1
4.672289256	NB	Abiotic	MS	Rep1
5.27307438	NB	Abiotic	MS	Rep1
4.981	NB	Abiotic	MS	Rep1
5.371933884	NB	Abiotic	MS	Rep1
4.769619835	NB	Abiotic	MS	Rep1
0.994520661	DOV	Abiotic	MS	Rep2
0.807595041	DOV	Abiotic	MS	Rep2
0.621818182	DOV	Abiotic	MS	Rep2
0.869181818	DOV	Abiotic	MS	Rep2
1.410396694	DOV	Abiotic	MS	Rep2
0.799561983	DOV	Abiotic	MS	Rep2
1.122570248	DOV	Abiotic	MS	Rep2
1.140768595	DOV	Abiotic	MS	Rep2
1.872024793	DOV	Abiotic	MS	Rep2
2.851347107	DOV	Abiotic	MS	Rep2
1.239669421	DOV	Abiotic	MS	Rep2
1.523933884	DOV	Abiotic	MS	Rep2
1.271008264	DOV	Abiotic	MS	Rep2
1.268347107	DOV	Abiotic	MS	Rep2
1.966355372	DOV	Abiotic	MS	Rep2
0.950272727	DOV	Abiotic	MS	Rep2
1.728619835	DOV	Abiotic	MS	Rep2
1.917355372	DOV	Abiotic	Control	Rep2
2.215859504	DOV	Abiotic	Control	Rep2
2.62492562	DOV	Abiotic	Control	Rep2
3.255487603	DOV	Abiotic	Control	Rep2
3.272727273	DOV	Abiotic	Control	Rep2
2.218818182	DOV	Abiotic	Control	Rep2
2.767793388	DOV	Abiotic	Control	Rep2
3.022041322	DOV	Abiotic	Control	Rep2
4.247	DOV	Abiotic	Control	Rep2
1.950694215	DOV	Abiotic	Control	Rep2
2.380165289	DOV	Abiotic	Control	Rep2
2.888165289	DOV	Abiotic	Control	Rep2
2.71577686	DOV	Abiotic	Control	Rep2
2.490115702	DOV	Abiotic	Control	Rep2
2.454305785	DOV	Abiotic	Control	Rep2
3.154553719	DOV	Abiotic	Control	Rep2
1.686272727	DOV	Abiotic	Control	Rep2
2.517826446	DOV	Abiotic	Control	Rep2
2.115702479	DOV	Abiotic	Control	Rep2
2.182066116	DOV	Abiotic	Control	Rep2
2.590404959	DOV	Abiotic	Control	Rep2
2.109768595	DOV	Abiotic	Control	Rep2
3.000099174	DOV	Abiotic	Control	Rep2
3.029768595	DOV	Abiotic	Control	Rep2
3.322404959	DOV	Abiotic	Control	Rep2
1.141570248	DOV	Abiotic	Control	Rep2
2.39868595	DOV	Abiotic	Control	Rep2
2.530867769	DOV	Abiotic	Control	Rep2
3.173652893	DOV	Abiotic	Control	Rep2
3.272727273	DOV	Abiotic	Control	Rep2
5.590892562	DOV	Abiotic	-P	Rep2
5.809966942	DOV	Abiotic	-P	Rep2
5.57807438	DOV	Abiotic	-P	Rep2
4.885305785	DOV	Abiotic	-P	Rep2
5.188991736	DOV	Abiotic	-P	Rep2
5.19514876	DOV	Abiotic	-P	Rep2
5.703826446	DOV	Abiotic	-P	Rep2
5.752115702	DOV	Abiotic	-P	Rep2
